qid,category,index,retriever,answer_score,judge,note
CN4,consistency,IDX-D,gpt-4o-2024-11-20,4,"claude-fable-5 (agent, 3-way run)",
CN4,consistency,IDX-C,gpt-4o-2024-11-20,2.5,"claude-fable-5 (agent, 3-way run)","led with 'all three agree', missed discrepancy"
CN4,consistency,IDX-C0,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
CN6,consistency,IDX-D,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
CN6,consistency,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
CN6,consistency,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
CS2,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
CS2,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
CS2,cross-section-synthesis,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
CS6,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,2,"claude-fable-5 (agent, 3-way run)",hallucinated wrong sections
CS6,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,3,"claude-fable-5 (agent, 3-way run)",
CS6,cross-section-synthesis,IDX-C0,gpt-4o-2024-11-20,4,"claude-fable-5 (agent, 3-way run)",
CS8,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,1.5,"claude-fable-5 (agent, 3-way run)",found only 1 of 5 Streamlit projects
CS8,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
CS8,cross-section-synthesis,IDX-C0,gpt-4o-2024-11-20,2.5,"claude-fable-5 (agent, 3-way run)",
DL3,direct-location,IDX-D,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL3,direct-location,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL3,direct-location,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL4,direct-location,IDX-D,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL4,direct-location,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL4,direct-location,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL5,direct-location,IDX-D,gpt-4o-2024-11-20,4.5,"claude-fable-5 (agent, 3-way run)",
DL5,direct-location,IDX-C,gpt-4o-2024-11-20,4.5,"claude-fable-5 (agent, 3-way run)",
DL5,direct-location,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL9,direct-location,IDX-D,gpt-4o-2024-11-20,4.5,"claude-fable-5 (agent, 3-way run)",
DL9,direct-location,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
DL9,direct-location,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
EG4,evidence-gap,IDX-D,gpt-4o-2024-11-20,4.5,"claude-fable-5 (agent, 3-way run)",
EG4,evidence-gap,IDX-C,gpt-4o-2024-11-20,4,"claude-fable-5 (agent, 3-way run)",
EG4,evidence-gap,IDX-C0,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
EG5,evidence-gap,IDX-D,gpt-4o-2024-11-20,3.5,"claude-fable-5 (agent, 3-way run)",
EG5,evidence-gap,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
EG5,evidence-gap,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
EG6,evidence-gap,IDX-D,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
EG6,evidence-gap,IDX-C,gpt-4o-2024-11-20,2,"claude-fable-5 (agent, 3-way run)",laundered placeholders as real numbers (verified full text)
EG6,evidence-gap,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
RD4,reflective-discovery,IDX-D,gpt-4o-2024-11-20,2.5,"claude-fable-5 (agent, 3-way run)",
RD4,reflective-discovery,IDX-C,gpt-4o-2024-11-20,4.5,"claude-fable-5 (agent, 3-way run)",
RD4,reflective-discovery,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
RD6,reflective-discovery,IDX-D,gpt-4o-2024-11-20,3,"claude-fable-5 (agent, 3-way run)",
RD6,reflective-discovery,IDX-C,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
RD6,reflective-discovery,IDX-C0,gpt-4o-2024-11-20,5,"claude-fable-5 (agent, 3-way run)",
