qid,index,fact_score,hits,total,missing,fuzzy
GA1,IDX-D-gdpr,1.0,5,5,,
GA2,IDX-D-gdpr,1.0,3,3,,
GA3,IDX-D-gdpr,1.0,3,3,,
GA4,IDX-D-gdpr,1.0,3,3,,
GB1,IDX-D-gdpr,0.75,3,4,before processing,
GB2,IDX-D-gdpr,1.0,4,4,,the prohibition-vs-permission structural contrast
GB3,IDX-D-gdpr,1.0,4,4,,
GB4,IDX-D-gdpr,1.0,4,4,,
GB5,IDX-D-gdpr,1.0,4,4,,
GB6,IDX-D-gdpr,0.5,2,4,any time;as easy,
GC1,IDX-D-gdpr,1.0,4,4,,
GC2,IDX-D-gdpr,1.0,3,3,,
GC3,IDX-D-gdpr,0.75,3,4,every member,
GC4,IDX-D-gdpr,0.667,2,3,cross-border,
GC5,IDX-D-gdpr,0.75,3,4,reprimands,that the powers come from 58(2) specifically
GD1,IDX-D-gdpr,1.0,7,7,,exactly the seven rights (over/under-enumeration)
GD2,IDX-D-gdpr,1.0,3,3,,
GD3,IDX-D-gdpr,1.0,4,4,,
GD4,IDX-D-gdpr,1.0,4,4,,
GD5,IDX-D-gdpr,1.0,3,3,,
GE1,IDX-D-gdpr,1.0,3,3,,
GE2,IDX-D-gdpr,1.0,4,4,,
GE3,IDX-D-gdpr,1.0,3,3,,recognizing the ABSENCE (no number exists)
GE4,IDX-D-gdpr,0.667,2,3,recital location,
GA1,IDX-PDF-textheadings-gdpr,1.0,5,5,,
GA2,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GA3,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GA4,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GB1,IDX-PDF-textheadings-gdpr,0.75,3,4,before processing,
GB2,IDX-PDF-textheadings-gdpr,1.0,4,4,,the prohibition-vs-permission structural contrast
GB3,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GB4,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GB5,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GB6,IDX-PDF-textheadings-gdpr,0.75,3,4,as easy,
GC1,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GC2,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GC3,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GC4,IDX-PDF-textheadings-gdpr,0.667,2,3,cross-border,
GC5,IDX-PDF-textheadings-gdpr,0.75,3,4,reprimands,that the powers come from 58(2) specifically
GD1,IDX-PDF-textheadings-gdpr,1.0,7,7,,exactly the seven rights (over/under-enumeration)
GD2,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GD3,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GD4,IDX-PDF-textheadings-gdpr,0.75,3,4,monitoring body,
GD5,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GE1,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GE2,IDX-PDF-textheadings-gdpr,1.0,4,4,,
GE3,IDX-PDF-textheadings-gdpr,1.0,3,3,,recognizing the ABSENCE (no number exists)
GE4,IDX-PDF-textheadings-gdpr,1.0,3,3,,
GA1,IDX-C0-gdpr,1.0,5,5,,
GA2,IDX-C0-gdpr,0.667,2,3,reasons for delay,
GA3,IDX-C0-gdpr,1.0,3,3,,
GA4,IDX-C0-gdpr,1.0,3,3,,
GB1,IDX-C0-gdpr,0.75,3,4,before processing,
GB2,IDX-C0-gdpr,1.0,4,4,,the prohibition-vs-permission structural contrast
GB3,IDX-C0-gdpr,1.0,4,4,,
GB4,IDX-C0-gdpr,0.75,3,4,dismissal protection,
GB5,IDX-C0-gdpr,1.0,4,4,,
GB6,IDX-C0-gdpr,0.75,3,4,as easy,
GC1,IDX-C0-gdpr,0.75,3,4,particular situation,
GC2,IDX-C0-gdpr,1.0,3,3,,
GC3,IDX-C0-gdpr,1.0,4,4,,
GC4,IDX-C0-gdpr,0.667,2,3,cross-border,
GC5,IDX-C0-gdpr,0.75,3,4,reprimands,that the powers come from 58(2) specifically
GD1,IDX-C0-gdpr,1.0,7,7,,exactly the seven rights (over/under-enumeration)
GD2,IDX-C0-gdpr,1.0,3,3,,
GD3,IDX-C0-gdpr,1.0,4,4,,
GD4,IDX-C0-gdpr,0.75,3,4,monitoring body,
GD5,IDX-C0-gdpr,1.0,3,3,,
GE1,IDX-C0-gdpr,1.0,3,3,,
GE2,IDX-C0-gdpr,0.5,2,4,not covered;recital location,
GE3,IDX-C0-gdpr,1.0,3,3,,recognizing the ABSENCE (no number exists)
GE4,IDX-C0-gdpr,0.667,2,3,recital location,
